ID,post_title,post_content,post_type,post_status,STREET_SUBURB,CONTACT,EMAIL,WEBSITE
11, Castlemaine Community Care Services - Bendigo Health,,gd_place,publish,CASTLEMAINE,6.10355E+11,cmsintake@bendigohealth.org.au,
12,Mildura Community Care Services - Bendigo Health,"Bendigo Health supports people to be active in their community and to live in their own home. We work with you to ensure your choices and needs are met. With Bendigo Health, you choose the services you would like to have. These choices may include help with your home, gardening, transport to social activities and appointments, nursing care or health activities eg exercise classes.",gd_place,publish,MILDURA,6.1035E+11,cmsintake@bendigohealth.org.au,
13,Echuca Community Care Services - Bendigo Health,,gd_place,publish,ECHUCA,6.1035E+11,cmsintake@bendigohealth.org.au,
14,Kyneton Community Care Services - Bendigo Health,,gd_place,publish,KYNETON,6.10355E+11,cmsintake@bendigohealth.org.au,
15,Swan Hill Community Care Services - Bendigo Health,,gd_place,publish,SWAN HILL,6.1035E+11,cmsintake@bendigohealth.org.au,
16,Kyabram Community Care Services - Bendigo Health,,gd_place,publish,KYABRAM,6.10355E+11,cmsintake@bendigohealth.org.au,
17,Brotherhood of St Laurence Care at Home North,"Brotherhood of St Laurence is a leading provider of Home Care Packages with over 20 years’ experience. We provide around-the-clock support to assist you to live safely and as independently as possible at home, in touch with people and places you value. We are all inclusive and welcome people from all backgrounds as well as those with complex physical and mental health issues.  We have many Client Advisors who are multilingual and have access to an interpreter service if required. Call us on 1300 147 147 for expert advice.",gd_place,publish,SUNSHINE,6.113E+11,agedcare@bsl.org.au,http://agedcare.bsl.org.au
18,Cann Valley Bush Nursing Centre Inc,,gd_place,publish,CANN RIVER,6.10352E+11,cvbnc.manager@gha.net.au,http://cannvalleybnc.com.au/
19,VMCH,,gd_place,publish,WANTIRNA SOUTH,6.11301E+11,hello@vmch.com.au,http://www.vmch.com.au
20,Chinese Community Social Services Centre Inc. Northern Metro Region,"CCSSCI is a non-profit organization, providing Chinese-specific home care packages since 1995. We are committed to provide best quality of care to our Chinese community, to enable our consumers to have choice, control and flexibility to access support, with the goal to enhance our consumers’ wellness and re-ablement. Our team of bilingual Case Managers and Home Care Workers are qualified and experienced, to ensure effective service delivery. They are fluent in Cantonese, Mandarin, and some speak other Chinese dialects, e.g. Shanghainese, Hokien, Hakka, Teochew and Seeyup. Our after-hours emergency support service is managed by our Case Managers to provide 24/7 support all year round in times of need. The services we provide are designed in partnership with our consumers and family carers, and are tailored to meet our consumers’ individual needs and goals.",gd_place,publish,DONCASTER,6.10388E+11,hcpp@ccssci.org.au,www.ccssci.org.au
21,Chinese Community Social Services Centre Inc. Southern Metro Region,"CCSSCI is a non-profit organization, providing Chinese-specific home care packages since 1995. We are committed to provide best quality of care to our Chinese community, to enable our consumers to have choice, control and flexibility to access support, with the goal to enhance our consumers’ wellness and re-ablement. Our team of bilingual Case Managers and Home Care Workers are qualified and experienced, to ensure effective service delivery. They are fluent in Cantonese, Mandarin, and some speak other Chinese dialects, e.g. Shanghainese, Hokien, Hakka, Teochew and Seeyup. Our after-hours emergency support service is managed by our Case Managers to provide 24/7 support all year round in times of need. The services we provide are designed in partnership with our consumers and family carers, and are tailored to meet our consumers’ individual needs and goals.",gd_place,publish,DONCASTER,6.10388E+11,hcpp@ccssci.org.au,www.ccssci.org.au
22,At Grampians Community Health Stawell Office,"Home Care Package Programme level 3 & 4 assist people to remain living at home; and	to enable consumers to have choice and flexibility in the way that they are supported in their home.
Home Care Level 3 is a package to support people with intermediate care needs.
Home Care Level 4 is a package to support people with high care needs.
The following range of supplements are available to people across all levels of Home Care Packages who meet the eligibility criteria in recognition of the additional costs associated with certain care and service requirements:

•	Dementia and Cognition Supplement and Veteran’s Supplement
•	Oxygen Supplement
•	Enteral Feeding Supplement
•	Viability Supplement
•	Top-up Supplement
•	Hardship Supplement
",gd_place,publish,STAWELL,6.10354E+11,karen.w@grampianscommunityhealth.org.au,
23,At Grampians Community Health Ararat Office,"Commonwealth Home Care Packages 1&2, 3&4",gd_place,publish,ARARAT,6.10354E+11,karen.w@grampianscommunityhealth.org.au,http://grampianscommunityhealth.org.au/
24,*Moonee Valley City Council Home Care Packages,"Moonee Valley City Council offers Home Care Packages for residents living in the municipality and close-by municipalities. Full Case Management included in fees at no additional costs. Highly qualified and very experienced Case Managers. Full range of services available (in-home, garden & maintenance, aids & equipment), either provided by Council staff or other providers we work with. Clients previously in receipt of our CHSP services can continue with the same familiar care worker.",gd_place,publish,MOONEE PONDS,6.10392E+11,hcp@mvcc.vic.gov.au,https://mvcc.vic.gov.au
25,CO.AS.IT Italian Assistance Association,,gd_place,publish,CARLTON,6.10393E+11,agedcareenquiries@coasit.com.au,https://www.coasit.com.au
26,Cobdenhealth Home Care Packages,,gd_place,publish,COBDEN,6.10356E+11,hcp@cobdenhealth.org.au,http://www.cobdenhealth.org.au
27,Wintringham Community Housing and Support (Western),"Our Care Coordinators at Wintringham have small caseloads, so that you can be sure to receive a professional personalised service.
The relationship between you and Wintringham is really important to create the right package to meet your needs. Working through your goals, interests and preferences will help you to make informed choices about the services and assistance you’d like to receive.
It’s up to you how you would like your package to be managed. You can do a lot, or a little. It’s about what works best for you.
Wintringham will work in partnership with you to guide you through the government allocated budget and fee structure to create the right care plan that not only suits your needs but fits within the budget too.
Wintringham embraces all cultures, languages and religions without discrimination. Although we specialise in the assistance of people facing homelessness, we are also equipped and happy to support anyone interested in our Home Care Package services. 
",gd_place,publish,SEDDON,6.1039E+11,macnotification@wintringham.org.au,http://www.wintringham.org.au/home_care_packages.html
28,"Monash Health Community, Community Support Options","Your care, your way 
At Monash Health we believe that you should be able to choose the care you want, the way you want it. While respecting your lifetime of experience and knowledge, we will develop personalised services to help you to live securely in the comfort of your own home for as long as possible.  
 
We are the largest healthcare provider in Victoria with more than 20 years’ experience in home care. Our highly qualified and caring staff are able to help you connect with the Monash Health network of programmes and services, when needed.
 
As a not for profit organisation, our focus is on You. We offer all types of support to maintain your quality of life including: respite care, complete health care management and home care packages (levels 1-4).  
 
Contact us. We are ready to provide Your care, your way.
",gd_place,publish,SPRINGVALE,6.10398E+11,communitysupportoptions@monashhealth.org,https://monashagedliving.com/
29,Wintringham Community Housing and Support (Northern),"Our Care Coordinators at Wintringham have small caseloads, so that you can be sure to receive a professional personalised service.
The relationship between you and Wintringham is really important to create the right package to meet your needs. Working through your goals, interests and preferences will help you to make informed choices about the services and assistance you’d like to receive.
It’s up to you how you would like your package to be managed. You can do a lot, or a little. It’s about what works best for you.
Wintringham will work in partnership with you to guide you through the government allocated budget and fee structure to create the right care plan that not only suits your needs but fits within the budget too.
Wintringham embraces all cultures, languages and religions without discrimination. Although we specialise in the assistance of people facing homelessness, we are also equipped and happy to support anyone interested in our Home Care Package services. 
",gd_place,publish,TRAVANCORE,6.1039E+11,macnotification@wintringham.org.au,http://www.wintringham.org.au/home_care_packages.html
30,Wintringham Community Housing and Support (Southern Peninsula),"Our Care Coordinators at Wintringham have small caseloads, so that you can be sure to receive a professional personalised service.
The relationship between you and Wintringham is really important to create the right package to meet your needs. Working through your goals, interests and preferences will help you to make informed choices about the services and assistance you’d like to receive.
It’s up to you how you would like your package to be managed. You can do a lot, or a little. It’s about what works best for you.
Wintringham will work in partnership with you to guide you through the government allocated budget and fee structure to create the right care plan that not only suits your needs but fits within the budget too.
Wintringham embraces all cultures, languages and religions without discrimination. Although we specialise in the assistance of people facing homelessness, we are also equipped and happy to support anyone interested in our Home Care Package services. 
",gd_place,publish,KEYSBOROUGH,6.1039E+11,macnotification@wintringham.org.au,http://www.wintringham.org.au/home_care_packages.html
31,Cooinda Village Care Packages,"Cooinda is a community owned, not for profit age care service in Benalla.  Established in 1969, today Cooinda is a major employer and economic contributor to the Benalla Rural City. Our trained and experienced Cooinda home care services team have been delivering  Home Care Package services to the Benalla community for over 10 years.   Our flexible services can help you remain independent longer. We can help you get ready for the day, keep your home clean and tidy, stay healthy and safe, attend appointments, catch up with family and friends, have a friendly face call by, use technology to support your safety and a range of respite options to provide a break for carers. Our Home Care Packages are delivered by local people you can trust and can meet with people at home to discuss their needs.",gd_place,publish,BENALLA,6.10358E+11,homecare@cooinda.org.au,http://cooinda.org.au
32,Dhauward-Wurrung Elderly And Community Health Service,"Our Home Care Packages are a tailored service designed to help you stay at home living independently for longer. 

The relationship between you and Dhauwurd-Wurrung is really important to create the right package to meet your needs. Working through your goals, interests and preferences will help you to make informed choices about the services and assistance you’d like to receive.

It’s up to you how you would like your package to be managed. You can do a lot, or a little. It’s about what works best for you.

Dhauwurd-Wurrung will work in partnership with you to guide you through the government allocated budget and fee structure to create the right care plan that not only suits your needs but fits within the budget too. 

Our Case Managers have small caseloads so you can be assured that you will receive a personal service. 
",gd_place,publish,PORTLAND,6.10355E+11,kellie@dwech.com.au,
33,MiCare - HCP VIC Metro South,"Our difference
at MiCare, we understand your culture and why you want to be amongst people who speak your language. We know how important it is to be understood and because of this, we match staff to your language and cultural needs. Almost all our staff speak another language and have a non English speaking background. Let us know what you want and how we can make it happen.

If your home is the place you want to be
at MiCare, we help you to live at home independently and you can choose from a range of services that will help you do this.  We understand how important it is for you to keep doing things for yourself and will be guided by you as to how much care and support you would like. 
With case management you decide how much help you would like in organising and booking your services which will be listed in what we call your ‘care plan’
",gd_place,publish,CARRUM DOWNS,6.113E+11,jenny.morris@micare.com.au,https://www.micarehomecare.com.au/programs/home-care-packages
34,MiCare - HCP VIC Metro East,"Our difference
at MiCare, we understand your culture and why you want to be amongst people who speak your language. We know how important it is to be understood and because of this, we match staff to your language and cultural needs. Almost all our staff speak another language and have a non English speaking background. Let us know what you want and how we can make it happen.

If your home is the place you want to be
at MiCare, we help you to live at home independently and you can choose from a range of services that will help you do this.  We understand how important it is for you to keep doing things for yourself and will be guided by you as to how much care and support you would like. 
With case management you decide how much help you would like in organising and booking your services which will be listed in what we call your ‘care plan’
",gd_place,publish,KILSYTH,6.113E+11,lisa.vanhoof@micare.com.au,https://www.micarehomecare.com.au/programs/home-care-packages
35,MiCare - HCP VIC Gippsland,"Our difference
at MiCare, we understand your culture and why you want to be amongst people who speak your language. We know how important it is to be understood and because of this, we match staff to your language and cultural needs. Almost all our staff speak another language and have a non English speaking background. Let us know what you want and how we can make it happen.

If your home is the place you want to be
at MiCare, we help you to live at home independently and you can choose from a range of services that will help you do this.  We understand how important it is for you to keep doing things for yourself and will be guided by you as to how much care and support you would like. 
With case management you decide how much help you would like in organising and booking your services which will be listed in what we call your ‘care plan’
",gd_place,publish,CARRUM DOWNS,6.113E+11,lisa.vanhoof@micare.com.au,https://www.micarehomecare.com.au/programs/home-care-packages
36,EACH Home Care Packages - East Metro Melbourne,"EACH provides a range of services promoting wellness and healthy living for older people. We’re about much more than care though. We strive to maintain each person’s lifestyle and independence and we do this by listening and providing choice and flexibility. 

EACH Home Care Packages are an individually planned and coordinated suite of supports and services designed to assist older individuals to live comfortably in their home. We design your package around your unique care needs. 

The types of services that may be provided as part of a package include:
•	Transport to appointments and social support activities
•	Basic garden and home maintenance
•	Home cleaning
•	Meal preparation/support
•	Assistance with personal care
•	Nursing care, including medication management
•	Respite care
•	Case Management Support
•	Advocacy

To find out how we can help you or a loved one, please contact us:

Call 1300 003 224 or visit each.com.au
",gd_place,publish,LILYDALE,6.113E+11,hcpeastmetromelb@each.com.au,http://www.each.com.au/service/home-care-packages/
37,Gippsland & East Gippsland Aboriginal Co-Operative Ltd,,gd_place,publish,BAIRNSDALE,6.10352E+11,sally.damiano@gegac.org.au,https://www.gegac.com.au
38,Fairview Community Care,Fairview has trained care workers who will assist and support you in remaining to live independently in your own home. We listen to you and our Home Care Packages are tailored to meet your unique needs. Our Community Care Case Manager is trained to assist you with a personalised plan of affordable services. We can be your 'one stop shop' and help you navigate the health and aged care system.,gd_place,publish,WARRAGUL,6.10356E+11,reception@fairviewvillage.com.au,http://www.fairviewvillage.com.au
39,Filipino Community Council of Victoria Inc Home Care Packages,"The types of services you can access under a home care package are based on your individual needs, and these are agreed between you and the provider. The services may include, but are not limited to:

Domestic Assistance
Home Maintenance and Modification
Gardening
Nursing Care
Food Services
Social Support
Transport Services
Home Visitation
Mobility Equipment Assistance
Case Management",gd_place,publish,FOOTSCRAY,6.10397E+11,fil.cacp@fccvi.org.au,
40,VMCH - Western Metro HCP,,gd_place,publish,BALLARAT CENTRAL,6.11301E+11,hello@vmch.com.au,http://www.vmch.com.au
41,VMCH - Northern Metro HCP,,gd_place,publish,WANTIRNA SOUTH,6.11301E+11,hello@vmch.com.au,http://www.vmch.com.au
42,Gippsland Lakes Complete Health  - Home Care Packages,"Your local My Aged Care provider – servicing all areas of East Gippsland. Gippsland Lakes Community Health has been a local provider of aged care services in the East Gippsland area since 1975.  All Home Care Packages are offered on a consumer directed care basis with the Care Manager working in partnership with the client and family to plan a package of care. The Home Care Package team are based in Bairnsdale and are only a phone call away. More information is available on the GLCH website at www.glch.org.au or by phoning the Home Care Package team on 51520075.
What our clients say about us: “Fantastic support – fast and efficient assistance at all times.” 
“We (client and carer) feel that having a Case (Care) Manager has improved our lives” 
“Support in many ways and availability when needed.”
",gd_place,publish,BAIRNSDALE,6.10352E+11,hcpenquiries@glch.org.au,http://www.glch.org.au
43,Community Interlink - Goulburn Valley Health,"Community Interlink links your local health service or hospital to you,  providing Home Care Packages.
Our services now include Albury Wodonga Health, North East Health Wangaratta, Nexus, GV Health, Alexandra District Health, Beechworth Health Service, Benalla Health, Gateway Health, Indigo North Health, Kilmore & District Hospital, Mansfield District Hospital, Nathalia District Hospital, Numurkah District Health, Seymour Health, Tallangatta Health, Yarrawonga Health, and Yea & District Memorial Hospital.
As you have supported your LOCAL health services or hospital, now let us support you in your home and via coordinating your Home Care package.
Home Care Level 1 - deisgned to support people with Basic care needs;
Home Care Level 2 - designed to support people with LOW level care needs;
Home care Level 3 - designed to support people with Intermediate level care needs;
Home Care Level 4 - designed to support people with High level care needs",gd_place,publish,SHEPPARTON,6.113E+11,info@interlink.org.au,https://www.communityinterlink.org.au
44,VIC - KinCare - Melbourne East,"At KinCare, we believe you deserve the best in-home care.

With over 25 years experience helping people live at home independently, our expert local team can help you get more out of your Home Care Package.  

We will support you in selecting the right services to suit your needs - whether it’s a helping hand in the garden, assistance with home maintenance, preparing meals, cleaning and household tasks, or support with travelling and social activities.

Why choose KinCare?
•  Support 24 hours a day, 7 days a week
•  Tailored solutions to support your health and happiness 
•  Quality service, guaranteed 
•  No exit fees.",gd_place,publish,NOTTING HILL,6.11301E+11,mail@kincare.com.au,http://www.kincare.com.au
45,VIC - KinCare - Western Melbourne,"At KinCare, we believe you deserve the best in-home care.

With over 25 years experience helping people live at home independently, our expert local team can help you get more out of your Home Care Package.  

We will support you in selecting the right services to suit your needs - whether it’s a helping hand in the garden, assistance with home maintenance, preparing meals, cleaning and household tasks, or support with travelling and social activities.

Why choose KinCare?
•  Support 24 hours a day, 7 days a week
•  Tailored solutions to support your health and happiness 
•  Quality service, guaranteed 
•  No exit fees.",gd_place,publish,NOTTING HILL,6.11301E+11,mail@kincare.com.au,http://www.kincare.com.au
46,Lyndoch Living - Home Care,"Lyndoch Living’s Home Care services provide experienced support and guidance to help maintain your independence.   Through a home care package, you can be linked to a wide range of different services to maximise your ability to continue living at home.",gd_place,publish,WARRNAMBOOL,6.11301E+11,support@lyndoch.org.au,http://www.lyndochliving.org.au/pages/Aged_Services/Home_Care_Services
47,MannaCare Home Care Packages,"MannaCare provides for all Home Care Packages: Level 1- entry level care needs
Level 2  - support people with low level care needs
Level 3  support people with intermediate care needs
Level 4  support people with high care needs.

Home Care Packages assists people (“consumers”) to remain at home for as long as possible, enables choice and flexibility in the way that the package is managed. All packages are offered under the Consumer Directed Care model of service. 
",gd_place,publish,DONCASTER,6.11301E+11,enquiries@mannacare.org.au,http://mannacare.org.au/our-services/community-services/home-care-packages/
48,"Moyne Health Services Home Care Packages - Port Fairy, Koroit, Warrnambool and districts","Our motto at Moyne Health Services is ""Where People Matter"". Our Home Care team aims to provided tailor made solutions to ensure your needs are met, to help you live comfortably in your home and move about our community as you would like. Our professional and qualified staff can offer a range of services to keep you living independently in your community.
We can provide; Personal Care,Transport to appointments and outings, Gardening assistance, home care and connect you with sevices of your choice.
",gd_place,publish,PORT FAIRY,6.10356E+11,hcp@moynehealth.vic.gov.au,http://www.swarh2.com.au/mhs/content/Home-Care-Packages
49,MACS - Home Care Services,"MACS helps people to stay in their own home longer. After all, there's no place like home.
We provide a complete range of services, from helping clients to get out and about , to lightening their load and making it easier to live at home.
Our clients often tell us that our care makes such a positive difference to their lives and the lives of their families. 
Clients feel more independent, empowered and secure.
Every person is different , so every persons homecare package is different too.
It will be your choice to decide what services you  require to remain in your home.
Some of the services you may require are as follows 
In home physio
Innovative exercise programs 
Bus outings 
Personal care
Home maintenance 
Transport
Dietitian consultation 
Palliative Care
In home Geriatrician consultation
Social outings
Pharmacy and medication assistance
Occupational therapy 
Meal preparation
Advocacy
Counselling
Gardening 
",gd_place,publish,NORTH GEELONG,6.11301E+11,community@macs.org.au,http://www.macs.org.au
50,Ruscare Home Care,"Care Management and Administration charged fees by Ruscare are 35% inclusive.  There are no additional Costs charged by RusCare (except for self-managed packages).  No Consumer fees of $10.43 per day, unless you want to add hours to your packaged funds. 	**Income and Assessment fees mandated by Centrelink must be contributed towards your package. 
We do not charge per visit cost or for your assessments (Except for Self-managed packages for Care Managers to Visit), contact visits or even for phone calls to you, and no life time loyalty fees or memberships. Speak directly to your Care Manager 9-5pm not a call centre; and an experienced Care Manager after hours to change cancel or report a hospital visit, building a relationship with your care manager, re pour and trust is our main aim and what we pride ourselves on.",gd_place,publish,DANDENONG,6.10398E+11,m.elia@ruscare.com,http://www.ruscare.com.au
51,Bolton Clarke- RDNS Eastern Metro Melbourne,"Bolton Clarke is the new name of RDNS and RSL Care, now working as one organisation. Together we have provided healthcare and services for more than 200 years. We are one of the largest Australian owned and operated not-for-profit healthcare organisations, with a passion for ensuring our clients live the best possible life. We can provide you with reliable, trustworthy and quality care and support. Our nurses and carers can visit you wherever your home is to provide services and support such as personal care, home and specialist nursing, allied health and help in your home and garden. We can also help you with things such as transport, shopping and social support – and other things you may need. Your own unique choices and needs, big or small, are what we focus on. We respect every person’s diversity, culture and identity. Bolton Clarke staff look forward to working with you to help you with your health, daily living needs and goals and staying as independent in your home as possible.",gd_place,publish,FOREST HILL,6.113E+11,packagedcarevic@rdns.com.au,
52,Bolton Clarke- RDNS Southern Metro Melbourne,"Bolton Clarke is the new name of RDNS and RSL Care, now working as one organisation. Together we have provided healthcare and services for more than 200 years. We are one of the largest Australian owned and operated not-for-profit healthcare organisations, with a passion for ensuring our clients live the best possible life. We can provide you with reliable, trustworthy and quality care and support. Our nurses and carers can visit you wherever your home is to provide services and support such as personal care, home and specialist nursing, allied health and help in your home and garden. We can also help you with things such as transport, shopping and social support – and other things you may need. Your own unique choices and needs, big or small, are what we focus on. We respect every person’s diversity, culture and identity. Bolton Clarke staff look forward to working with you to help you with your health, daily living needs and goals and staying as independent in your home as possible.",gd_place,publish,BENTLEIGH,6.113E+11,packagedcarevic@rdns.com.au,http://www.rdns.com.au/services-we-provide/home-care-services/home-care-packages/
53,Rumbalara HCP - Loddon Mallee,"Rumbalara has been providing home care packages to the Indigenous Community for over 20 years: our focus is enhancing our Clients lives and ensuring that we continue to meet their Cultural needs, ew have two offices Shepparton and Swan Hill and we work with Clients across both NSW and Vic. we have a dedicated mix of indigenous and non indigenous staff and we have great partnerships with health providers, indigenous cooperatives and the department",gd_place,publish,SWAN HILL,6.1035E+11,wayne.harris@raclimited.com.au,
54,Rumbalara HCP- HUME,,gd_place,publish,SHEPPARTON,6.1035E+11,wayne.harris@raclimited.com.au,
55,Sacred Heart Local (part of Sacred Heart Mission),"We are experts in working with people in the community who have been ‘left behind’. We deliver in-home support to people experiencing deep, persistent disadvantage and social exclusion.
These people are often isolated, distrustful of services, and do not receive the services they require and are entitled to. Referred clients will be assessed for suitability and supported in close collaboration with their existing service provider networks. 
Please refer any potentially suitable candidates to Sacred Heart Mission and we will help to make their life easier.
Sacred Heart Local makes life easier for disadvantaged community members by providing:
	Case management
	Meals delivery
	Assistance with shopping, meal preparation and self-care
	Transport to appointments and activities
	Cleaning
	Assistance with daily living
	Social and community participation.
",gd_place,publish,ST KILDA,6.10385E+11,shlocal@sacredheartmission.org,http://sacredheartmission.org
56,VMCH - Gippsland HCP,"Government-funded Home Care Packages are designed to help you live at home and continue doing the things that make you happy. VMCH is a proud provider of Home Care Packages. Maybe you need a hand with the shopping, running errands or personal care. We’re here to help. Our job is to ensure things are easier and more manageable for you.
So why VMCH? We’re fully accredited and we’re known for our high standards across everything that we do. Most importantly, we tailor services to suit each individual and we support people from culturally and linguistically diverse backgrounds. When you choose VMCH, you're choosing a reputable, Catholic, not for profit provider of quality care and services. As part of your HCP you will have access to a VMCH case manager. We know a lot about aged care. Naturally, our Case Managers are knowledgeable and can support you to get the most out of your Home Care Package, but what makes them a bit special is their client-focused approach.
",gd_place,publish,MOE,6.11301E+11,hello@vmch.com.au,http://www.vmch.com.au
